Date,Time,Prediction,Confidence
2026-08-10,19:56:43,REAL,81.66
2026-08-10,19:56:44,REAL,84.93
2026-08-10,19:56:45,REAL,85.44
2026-08-10,19:57:14,REAL,57.24
2026-08-11,14:44:44,REAL,73.50
2026-08-11,14:44:45,REAL,84.66
2026-08-11,14:44:46,REAL,81.37
2026-08-11,14:44:47,REAL,69.96
2026-08-11,14:44:48,REAL,79.42
2026-08-11,14:44:49,REAL,85.96
2026-08-11,14:44:50,REAL,77.55
2026-08-11,14:44:51,REAL,74.30
2026-08-11,14:44:52,REAL,67.14
2026-08-11,14:44:53,REAL,87.65
2026-08-11,14:44:54,REAL,80.39
2026-08-11,14:44:55,REAL,89.38
2026-08-11,14:44:56,REAL,77.91
2026-08-11,14:44:57,REAL,80.81
2026-08-11,14:44:58,REAL,78.77
2026-08-11,14:44:59,REAL,69.88
2026-08-11,14:45:32,REAL,57.24
2026-08-11,20:16:49,REAL,77.82
2026-08-11,20:16:50,REAL,78.07
2026-08-11,20:16:51,REAL,82.64
2026-08-11,20:16:52,REAL,81.93
2026-08-11,20:16:53,REAL,82.39
2026-08-11,20:16:54,REAL,85.83
2026-08-11,20:16:55,REAL,84.36
2026-08-11,20:16:56,REAL,80.75
2026-08-11,20:16:57,REAL,83.39
2026-08-11,20:21:32,REAL,73.08
2026-08-11,20:21:33,REAL,75.42
2026-08-11,20:21:34,REAL,73.51
2026-08-11,20:21:35,REAL,79.67
2026-08-11,20:21:36,REAL,80.69
2026-08-11,20:21:37,REAL,69.69
2026-08-11,20:21:38,REAL,83.20
2026-08-11,20:28:37,REAL,82.18
2026-08-11,20:28:38,REAL,80.59
2026-08-11,20:28:39,REAL,79.83
2026-08-11,20:28:40,REAL,79.28
2026-08-11,20:28:41,REAL,76.23
2026-08-11,20:28:42,REAL,75.65
2026-08-12,19:37:14,REAL,73.97
2026-08-12,19:37:15,REAL,84.69
2026-08-12,19:37:16,REAL,83.64
2026-08-12,19:37:17,REAL,59.32
2026-08-12,19:37:18,REAL,81.65
2026-08-12,19:37:19,FAKE,55.86
2026-08-12,19:41:51,REAL,81.51
2026-08-12,19:41:52,REAL,83.30
2026-08-12,19:41:53,REAL,85.59
2026-08-12,19:41:54,REAL,87.99
2026-08-12,19:51:38,REAL,59.27
2026-08-12,19:51:39,REAL,75.32
2026-08-12,19:51:40,REAL,69.73
2026-08-12,19:51:41,NO FACE,0.00
2026-08-12,19:51:42,REAL,68.14
2026-08-12,19:51:43,REAL,68.23
2026-08-12,19:51:44,REAL,50.65
2026-08-12,19:51:45,REAL,55.37
2026-08-12,19:51:46,REAL,59.28
2026-08-12,19:51:47,REAL,59.28
2026-08-12,19:51:48,REAL,69.49
2026-08-12,19:51:49,REAL,74.61
2026-08-13,15:17:20,REAL,81.23
2026-08-13,15:17:21,REAL,73.77
2026-08-13,15:17:22,REAL,73.06
2026-08-13,15:17:23,REAL,84.31
2026-08-13,15:17:24,REAL,64.76
2026-08-13,15:17:25,REAL,53.94
2026-08-13,15:17:26,REAL,63.20
2026-08-13,15:17:27,REAL,69.18
2026-08-13,15:17:28,REAL,62.91
2026-08-13,15:17:29,REAL,71.01
2026-08-13,15:17:30,REAL,78.93
2026-08-13,15:17:31,REAL,75.34
2026-08-13,15:17:32,REAL,56.14
2026-08-13,15:17:33,FAKE,69.87
2026-08-13,15:17:37,REAL,65.75
2026-08-13,15:17:38,NO FACE,0.00
2026-08-13,15:17:39,REAL,63.76
2026-08-13,15:17:40,REAL,79.82
2026-08-13,15:17:41,REAL,75.33
2026-08-13,15:17:42,REAL,72.49
2026-08-13,15:17:43,REAL,63.02
2026-08-13,15:17:44,REAL,73.26
2026-08-13,15:17:45,REAL,82.30
2026-08-13,15:17:46,FAKE,55.24
2026-08-13,15:17:47,FAKE,63.42
2026-08-13,15:17:48,FAKE,51.39
2026-08-13,15:17:49,FAKE,57.92
2026-08-13,15:17:50,REAL,51.81
2026-08-13,15:17:51,REAL,51.37
2026-08-13,15:17:52,REAL,50.44
2026-08-13,15:17:53,REAL,54.78
2026-08-13,15:17:54,REAL,57.96
2026-08-13,15:17:55,REAL,76.22
2026-08-13,15:17:56,REAL,68.25
2026-08-13,15:17:57,FAKE,52.02
2026-08-13,15:17:58,REAL,88.04
2026-08-13,15:17:59,REAL,77.35
2026-08-13,15:18:00,REAL,71.56
2026-08-13,15:18:01,REAL,66.63
2026-08-13,15:18:02,REAL,77.51
2026-08-13,15:18:03,REAL,77.91
2026-08-13,15:18:04,FAKE,63.81
2026-08-13,15:18:09,REAL,84.48
2026-08-13,15:18:10,REAL,75.25
2026-08-13,15:18:11,REAL,85.44
2026-08-13,15:18:12,REAL,87.33
2026-08-13,15:18:13,REAL,58.33
2026-08-13,15:18:14,NO FACE,0.00
2026-08-13,15:18:15,REAL,67.93
2026-08-13,15:18:16,REAL,83.96
2026-08-13,15:18:17,REAL,67.68
2026-08-13,15:18:18,REAL,77.78
2026-08-13,15:18:19,REAL,87.04
2026-08-13,15:18:20,REAL,79.37
2026-08-13,15:18:21,REAL,78.92
2026-08-13,15:18:22,REAL,73.34
2026-08-13,15:18:23,REAL,76.38
2026-08-13,15:18:24,REAL,69.61
2026-08-13,15:18:26,REAL,73.42
2026-08-13,15:18:27,REAL,57.39
2026-08-13,15:18:28,REAL,70.36
2026-08-13,15:18:29,REAL,71.75
2026-08-13,15:18:30,REAL,68.35
2026-08-13,15:19:23,REAL,73.30
2026-08-13,15:19:24,REAL,86.76
2026-08-13,15:19:25,REAL,76.25
2026-08-13,15:19:26,REAL,72.51
2026-08-13,15:19:27,NO FACE,0.00
2026-08-13,15:19:28,REAL,76.78
2026-08-13,15:19:29,REAL,79.42
2026-08-13,15:19:30,REAL,82.40
2026-08-13,15:19:31,REAL,69.46
2026-08-13,15:19:32,REAL,74.57
2026-08-13,15:19:33,REAL,69.78
2026-08-13,15:19:34,REAL,77.12
2026-08-13,15:19:35,REAL,87.26
2026-08-13,15:19:36,REAL,88.21
2026-08-13,15:19:37,REAL,83.69
2026-08-13,15:19:38,REAL,90.12
2026-08-13,15:19:39,REAL,74.13
2026-08-13,15:19:40,REAL,80.01
2026-08-13,15:19:41,REAL,81.84
2026-08-13,15:19:42,REAL,84.89
2026-08-13,15:19:43,REAL,92.67
2026-08-13,15:19:44,REAL,93.81
2026-08-13,15:19:45,REAL,85.29
2026-08-13,15:19:46,REAL,83.31
2026-08-13,15:19:47,REAL,85.80
2026-08-13,15:19:48,REAL,80.37
2026-08-13,15:19:49,REAL,85.10
2026-08-13,15:19:50,REAL,77.87
2026-08-13,15:19:51,REAL,78.40
2026-08-13,15:19:52,REAL,83.19
2026-08-13,15:19:53,REAL,87.23
2026-08-13,15:19:54,REAL,87.35
2026-08-13,15:19:55,REAL,88.19
2026-08-13,15:19:56,REAL,92.29
2026-08-13,15:19:57,REAL,91.64
2026-08-13,15:19:58,REAL,90.74
2026-08-13,15:19:59,REAL,93.30
2026-08-13,15:20:00,REAL,70.65
2026-08-13,15:20:01,REAL,88.49
2026-08-13,15:20:02,REAL,65.93
2026-08-13,15:20:03,REAL,72.50
2026-08-13,15:20:04,REAL,63.80
2026-08-13,15:20:05,REAL,84.67
2026-08-13,15:20:06,REAL,70.36
2026-08-13,15:20:07,REAL,55.85
2026-08-13,15:20:08,REAL,75.72
2026-08-13,15:20:09,REAL,62.97
2026-08-13,15:20:10,REAL,65.41
2026-08-13,15:20:11,REAL,72.73
2026-08-13,15:20:13,REAL,88.07
2026-08-13,15:20:14,REAL,81.28
2026-08-13,15:20:19,REAL,73.41
2026-08-13,15:20:20,REAL,73.41
2026-08-13,15:20:21,REAL,68.01
2026-08-13,15:20:22,REAL,67.34
2026-08-13,15:20:23,REAL,62.65
2026-08-13,15:20:24,REAL,60.56
2026-08-13,15:20:25,REAL,80.48
2026-08-13,15:20:26,REAL,63.09
2026-08-13,15:20:27,REAL,84.91
2026-08-13,15:20:28,REAL,79.05
2026-08-13,15:20:29,REAL,71.43
2026-08-13,15:20:30,REAL,66.52
2026-08-16,22:00:56,FAKE,59.63
2026-08-16,22:01:01,FAKE,59.66
2026-08-16,22:01:02,FAKE,59.66
2026-08-16,22:01:03,FAKE,59.66
2026-08-16,22:01:04,FAKE,59.58
2026-08-16,22:01:05,FAKE,59.73
2026-08-16,22:01:06,FAKE,59.70
2026-08-16,22:01:07,FAKE,59.68
2026-08-16,22:01:08,FAKE,59.69
2026-08-16,22:01:09,FAKE,59.63
2026-08-16,22:01:10,FAKE,59.62
2026-08-16,22:01:11,FAKE,59.67
2026-08-16,22:01:12,FAKE,59.67
2026-08-16,22:01:13,FAKE,59.59
2026-08-16,22:01:14,FAKE,59.66
2026-08-20,20:31:20,REAL,65.07
2026-08-20,20:31:21,REAL,60.52
2026-08-20,20:31:22,REAL,57.12
2026-08-20,20:31:23,REAL,62.82
2026-08-20,20:31:24,REAL,70.07
2026-08-20,20:31:25,REAL,70.80
2026-08-20,20:31:26,REAL,58.14
2026-08-20,20:31:27,REAL,65.41
2026-08-20,20:31:28,REAL,62.38
2026-08-20,20:31:29,REAL,69.46
2026-08-20,20:31:30,REAL,57.96
2026-08-20,20:31:31,REAL,73.56
2026-08-20,20:31:32,REAL,77.51
2026-08-22,20:01:49,REAL,45.00
2026-08-22,20:01:50,REAL,77.24
2026-08-22,20:01:51,REAL,81.77
2026-08-22,20:01:52,REAL,80.59
2026-08-22,20:01:53,REAL,79.84
2026-08-22,20:01:54,REAL,83.24
